"Predictor","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",0.105194746067962,0.0389166460161434,2.70307842110354,0.00698734172678095
"RelatedCos",-0.190755669019813,0.0877044392491454,-2.17498305277257,0.0298667734095776
"DifferenceCos",0.321263007238848,0.0794711524436453,4.04251099122619,5.69720374965969e-05
"A.RelatedAPI",-0.175317114492568,0.100393474167723,-1.74629990590498,0.0810680676072208
"A.DifferenceAPI",0.342257219847421,0.0820766378364453,4.16997124723164,3.31252356103306e-05
"Fb.RelatedAPI",0.0872905500466447,0.111244140668679,0.784675485126213,0.432831011572345
"Fb.DifferenceAPI",-0.186548795699881,0.1078185408182,-1.73021072520759,0.0839033304813731
